-3.046171e+00 2.072581e+01 
-5.584166e+00 -5.589909e+00 
1.205243e+01 -2.951929e+00 
3.068033e+00 8.545120e-01 
4.219526e+00 -5.574118e+00 
4.823299e-01 3.585696e+00 
2.571946e+00 2.766505e+00 
-2.536182e+00 1.562299e+00 
1.365220e+00 7.815764e+00 
-3.848894e+00 4.961599e+00 
1.504708e+00 3.104926e+00 
1.701843e+01 8.725329e+00 
-6.504775e+00 6.292902e-01 
2.743319e+00 -1.570034e+00 
1.876154e+00 -6.652330e-01 
7.040454e+00 -1.134418e+01 
6.337432e+00 8.145859e-01 
5.082719e+00 -7.178800e-01 
1.254474e+01 1.739276e+00 
3.980101e+00 -1.208707e+00 
1.186718e+00 -2.739991e-01 
4.270209e+00 1.589910e+00 
2.773962e+00 -2.331486e+00 
1.176167e+01 2.046849e+00 
7.419287e+00 -3.055636e+00 
2.310713e-01 -3.234464e+00 
7.355212e+00 4.330633e+00 
1.710010e+00 2.238322e+00 
8.560389e+00 -2.789340e+00 
1.861210e+00 -3.420088e+00 
1.687080e+00 -2.870068e+00 
6.018848e+00 -3.561047e-01 
1.596621e+00 2.560171e+00 
4.077695e+00 9.130844e+00 
-3.318738e+00 3.050904e+00 
-5.735727e-02 3.676940e-01 
7.368781e+00 -1.078959e+01 
4.631812e+00 1.505238e-01 
7.298092e+00 4.656669e+00 
3.755586e+00 4.439005e+00 
7.432709e-01 5.250215e-01 
1.669002e+01 6.209670e-01 
3.198737e+00 -3.995302e+00 
6.945402e+00 -5.865772e-01 
5.148997e+00 -1.835580e+00 
9.173379e+00 9.331000e-01 
8.599768e+00 -6.047600e+00 
5.989239e+00 4.782204e-01 
3.106452e+00 3.040987e+00 
4.123142e+00 2.204643e+00 
3.462574e+00 2.987402e+00 
1.116401e+01 2.526043e+00 
4.180997e+00 1.321233e+00 
5.823252e-01 -3.485553e-01 
5.116543e+00 4.936178e+00 
7.577897e+00 -1.654580e+00 
6.975549e+00 -4.203168e+00 
6.623918e+00 -5.554718e+00 
2.240906e+00 2.851906e+00 
7.468999e-01 -1.964430e+00 
7.248068e+00 2.258878e-01 
1.406686e+00 1.860478e+00 
6.615760e+00 -4.543064e+00 
1.664698e+00 -3.515130e+00 
2.354751e+00 -1.783952e+00 
5.035535e+00 -2.867979e-01 
1.163569e+00 2.777838e+00 
-8.741028e-01 -2.481720e-01 
9.204379e+00 2.309104e+00 
9.765222e-01 -2.770967e-01 
8.484859e-01 -3.895745e+00 
1.008076e+01 -5.784365e-02 
8.852331e+00 -8.932249e+00 
-3.245103e-01 4.402711e+00 
7.877093e+00 -8.374389e-01 
4.611847e+00 3.659957e+00 
7.570325e+00 4.540886e+00 
7.400264e-01 2.983363e+00 
2.531418e+00 3.146970e+00 
5.039313e+00 -2.748853e+00 
6.655099e+00 -5.572869e+00 
8.550848e+00 -3.455358e+00 
8.821835e+00 -3.719678e+00 
-9.592058e-01 -1.191043e+00 
7.760941e+00 6.261981e+00 
5.439640e-01 -1.002338e+00 
